category,joke
observational,"""You know you're getting older when you bend down to tie your shoes and wonder what else you can do while you're down there."""
observational,"""I don't understand why people say 'You can't have your cake and eat it too.' What's the point of cake if you can't eat it?"""
observational,"""Has anyone ever figured out why the slowest line at the grocery store is always the one you're in?"""
observational,"""It’s amazing how something like WiFi brings everyone together by separating them."""
observational,"""Why do we press harder on the remote when the batteries are running low?"""
observational,"""Have you noticed that the word 'queue' is just a fancy way of saying 'the letter Q with a bunch of silent letters after it'?"""
observational,"""Why is it that whenever you try to catch something falling off the table, you end up knocking over something else?"""
observational,"""Isn’t it weird how we call it 'rush hour' when nobody is moving?"""
observational,"""I always find it funny how people say they're 'cleaning their house,' but all they're really doing is moving their mess around."""
observational,"""You know you're an adult when you realize that 'fun' is now measured by how long you can nap."""
observational,"""Why do we call it a building when it's already built? Shouldn't it be called a built?"""
observational,"""Isn't it strange how the younger you are, the less sleep you want, and the older you are, the more sleep you need?"""
observational,"""You know you're an adult when you get excited about a new sponge for cleaning dishes."""
observational,"""Isn't it funny how 'fat chance' and 'slim chance' mean the same thing?"""
observational,"""Why is it that when you're late, every light is red, but when you’re early, they're all green?"""
observational,"""Ever notice how the word 'therapist' is just 'the' and 'rapist' put together? That’s... unsettling."""
observational,"""Why is it that we spend so much time looking for our phones when they’re usually in our hands?"""
observational,"""Ever notice how people in infomercials struggle with the simplest tasks? Like, who spills their entire plate of spaghetti on the couch?"""
observational,"""Why does every phone call feel like an interruption, even though that's the entire point of a phone?"""
observational,"""Isn't it weird how we buy exercise equipment with good intentions, only to use it as a clothes rack?"""
observational,"""Why is it that people who tell you to 'think outside the box' are usually standing firmly inside one?"""
observational,"""Why is it that we can’t resist reading the comments on a post we know is going to be full of trolls?"""
observational,"""Have you ever noticed how the person who’s the loudest at a concert is usually the one you don't want to hear?"""
observational,"""Why is it that dogs bark at everything, but when you actually need them to bark, they just sit there?"""
observational,"""Have you noticed that there’s no sound more irritating than the sound of someone else's alarm going off?"""
observational,"""Why does the microwave count faster when you're staring at it?"""
observational,"""Isn’t it weird how every time you say you’re 'just going to browse,' you end up buying something?"""
observational,"""You know you're in trouble when your GPS says 'Recalculating,' and you haven't even left your driveway yet."""
observational,"""Why is it that the moment you get comfortable in bed, you suddenly have to use the bathroom?"""
observational,"""Why do we love movies about people doing nothing, yet feel guilty when we do nothing?"""
observational,"""Isn't it weird how the second you say, 'I don't care,' you secretly care a lot?"""
observational,"""Have you noticed that when you're running late, all the drivers ahead of you suddenly decide to drive at the speed limit?"""
observational,"""Why do we say 'I'm going to hit the hay'? Who thought sleeping involved punching straw?"""
observational,"""Why does it take forever for a minute to pass when you're waiting, but flies by when you're late?"""
observational,"""Why is it that when someone says 'long story short,' it’s always followed by a long story?"""
observational,"""Isn't it weird how your day off never feels long enough, but your workday feels endless?"""
observational,"""Why do we always assume people in old photos never had fun, just because they’re not smiling?"""
observational,"""Have you noticed that people who say 'age is just a number' are usually younger than you?"""
observational,"""Why do we set alarms for the weekends when we don’t want to wake up early, but hit snooze five times on weekdays?"""
observational,"""Why does every piece of mail labeled 'important' end up being junk?"""
observational,"""Why do we say 'sleeping like a baby' when babies wake up every two hours?"""
observational,"""Isn't it funny how we’re all convinced that our version of 'normal' is the right one?"""
observational,"""Why is it that we only realize how much stuff we have when we’re trying to move?"""
observational,"""Ever notice how you never seem to have an umbrella until it starts raining?"""
observational,"""Have you noticed that we have more apps to organize our lives, yet we still feel disorganized?"""
observational,"""Why is it that when you finally sit down to relax, something always comes up to ruin it?"""
deprecating,"""I have a lot of jokes about unemployed people, but none of them work."""
deprecating,"""I’m not great at math, but I can guarantee that when it comes to making mistakes, I’m a solid 10 out of 10."""
deprecating,"""I don't have a smart home. My house is about as smart as I am, which means it’s just good at losing things."""
deprecating,"""I’m on a seafood diet. I see food, and I eat it."""
deprecating,"""My therapist says I have a preoccupation with vengeance. We'll see about that."""
deprecating,"""I can’t even finish a sandwich without feeling like I’ve failed in some way. That’s why I always leave a bite."""
deprecating,"""I’m trying to get in shape, but the only thing that’s running are my excuses."""
deprecating,"""I don’t mean to brag, but I finished a 14-day diet in three hours and twenty minutes."""
deprecating,"""I’m like a phone with 1% battery. I'm still functioning, but nobody knows for how long."""
deprecating,"""I wanted to lose weight, but then I realized... pizza exists."""
deprecating,"""I’m really good at multi-tasking. I can waste time, be unproductive, and procrastinate all at once."""
deprecating,"""I always tell people I’m allergic to exercise because my motivation to do it just disappears."""
deprecating,"""I have a lot of talent. Unfortunately, it’s all hidden under a layer of laziness."""
deprecating,"""I’m not lazy. I’m just very relaxed about priorities."""
deprecating,"""I tried to be normal once. It was the worst five minutes of my life."""
deprecating,"""I’d agree with you, but then we’d both be wrong."""
deprecating,"""I'm not lazy. I just really enjoy doing nothing."""
deprecating,"""I told myself I should stop procrastinating, but I’m still not finished."""
deprecating,"""I thought I wanted a career, but turns out I just wanted paychecks."""
deprecating,"""I have a lot of growing up to do. I realized that the other day inside my fort."""
deprecating,"""I’d exercise more, but it makes my coffee spill."""
deprecating,"""I don’t go the extra mile. I barely go the first mile."""
deprecating,"""I would give up chocolate, but I’m no quitter."""
deprecating,"""I have a fear of speed bumps, but I’m slowly getting over it."""
deprecating,"""I’ve got 99 problems, and 86 of them are completely made-up scenarios in my head that I'm paralyzed over."""
deprecating,"""I always thought I’d be somebody by the time I was 30. Turns out, I needed more time."""
deprecating,"""I might look like I’m doing nothing, but in my head, I’m really busy."""
deprecating,"""I’m not a control freak, but let me show you how to do that."""
deprecating,"""I’m not arguing. I’m just explaining why I’m right."""
deprecating,"""I have one of those 'faces for radio' and 'voices for text messaging'."""
deprecating,"""I’m not awkward; I’m just selectively social."""
deprecating,"""I think my guardian angel drinks. How else do you explain my life?"""
deprecating,"""My bed and I are perfect for each other, but my alarm clock keeps trying to break us up."""
deprecating,"""I wasn’t planning on going for a run today, but those tacos aren’t going to eat themselves."""
deprecating,"""I can’t stand people who agree with everything I say. It’s weird how much we have in common."""
deprecating,"""My body is a temple. Ancient and crumbling, but still sacred."""
deprecating,"""I’d say I’m addicted to social media, but I can stop scrolling anytime. Just... not right now."""
deprecating,"""I don’t have gray hair. I have 'wisdom highlights.'"""
deprecating,"""I’m not superstitious, but I am a little stitious."""
deprecating,"""I’m not overweight. I’m just undertall."""
deprecating,"""I’ve never seen anyone lose weight while taking a selfie, but I’ve seen people try."""
deprecating,"""I don’t have an attitude problem. You have a problem with my attitude."""
deprecating,"""I told my wife I would stop procrastinating, but we both know that's not happening."""
deprecating,"""I put on my workout clothes, but the gym never showed up."""
deprecating,"""If being sarcastic burned calories, I'd be a fitness model."""
deprecating,"""I’m not bossy, I just have better ideas."""
deprecating,"""I'm not a pessimist, I'm just an optimist with experience."""
deprecating,"""I don't need an inspirational quote, I need coffee."""
deprecating,"""I told myself I should go to the gym, but my couch was too clingy."""
deprecating,"""I tried to be normal once. Worst two minutes of my life."""
dark,"""I have a stepladder. My real ladder left when I was just a kid."""
dark,"""Why don’t graveyards ever get overcrowded? People are dying to get in."""
dark,"""Dark humor is like food... not everyone gets it."""
dark,"""I told my wife she was drawing her eyebrows too high. She looked surprised—before the funeral."""
dark,"""Why don't skeletons fight? They don't have the guts. Or the nerve."""
dark,"""What’s the last thing that goes through a fly’s mind before it hits the windshield? Its butt."""
dark,"""My therapist told me time heals all wounds, so I stabbed him. Now we wait."""
dark,"""I have an inferiority complex, but it’s not a very good one."""
dark,"""Why do ghosts go to parties? For the boos."""
dark,"""I don’t have a dark sense of humor. I have a sense of humor, and life is dark."""
dark,"""People say love is the best feeling. But I think finding a toilet when you really need one is better."""
dark,"""They say a joke becomes a dad joke when it becomes apparent. When does a joke become a dark joke? When it dies on stage."""
dark,"""What do you get when you mix alcohol and literature? Tequila Mockingbird."""
dark,"""The only thing flat-earthers fear... is sphere itself."""
dark,"""I had a great childhood, but then my imaginary friend moved away and left me alone."""
dark,"""What's the difference between a piano and a tuna? You can tune a piano, but you can't tuna fish... unless you're a psychopath."""
dark,"""My grandfather has the heart of a lion. And a lifetime ban from the zoo."""
dark,"""Why don’t cannibals eat clowns? Because they taste funny."""
dark,"""I told my parents that I wasn’t hungry for dinner. They grounded me anyway—six feet under."""
dark,"""My husband and I have decided we don't want children. If anyone does, we’ll drop them off at your house."""
dark,"""I wasn’t originally going to get a brain transplant, but then I changed my mind."""
dark,"""Why did the coffee file a police report? It got mugged."""
dark,"""The worst time to have a heart attack is during a game of charades."""
dark,"""What’s worse than finding a worm in your apple? Getting a call from the hospital after eating your kid’s lunch."""
dark,"""I can’t stand being in a wheelchair, but what can you do?"""
dark,"""What’s the fastest way to a man’s heart? Through his chest."""
dark,"""I saw a sign that said 'watch for children' and thought, 'That sounds like a fair trade.'"""
dark,"""I'm reading a book about anti-gravity. It's impossible to put down... just like my hopes and dreams."""
dark,"""If at first you don’t succeed, skydiving is probably not for you."""
dark,"""When I see the names of lovers engraved on a tree, I don't find it romantic. I find it odd how many people take knives on dates."""
dark,"""Why did the scarecrow win an award? He was outstanding in his field... and also, no one could hear his screams."""
dark,"""What's red and bad for your teeth? A brick."""
dark,"""I finally did it! I bought a coffin. It was the last nail in the coffin."""
dark,"""I’m not saying I hate you, but I’d unplug your life support to charge my phone."""
dark,"""I wanted to lose 10 pounds this year. Only 15 more to go."""
dark,"""I’m on a whiskey diet. I’ve lost three days already."""
dark,"""It turns out being an adult is mostly just googling how to do stuff."""
dark,"""I'm not arguing. I'm just explaining why I'm right... and you’ll understand in the afterlife."""
dark,"""When people ask me what I do, I tell them I assassinate imaginary friends."""
dark,"""The difference between me and my bed? My bed supports me."""
dark,"""I'm writing a horror novel. It's about a man who gets up to use the bathroom in the middle of the night, and his phone's at 1%."""
dark,"""Don't knock on death's door. Ring the bell and run. He hates that."""
dark,"""What did the skeleton say when he walked into a bar? 'I need a beer and a mop.'"""
dark,"""Why don't graveyards have Wi-Fi? Because people are dying to disconnect."""
dark,"""I have a joke about death, but it's the last one you'll ever hear."""
dark,"""What's the difference between a good joke and a bad one? Timing. Especially in the afterlife."""
dark,"""If I die, I want to go quietly in my sleep, like my grandpa. Not screaming, like his passengers."""
dark,"""Why don't ghosts like to go out? They're afraid they'll get sheet-faced."""
dark,"""I’m friends with 25 letters of the alphabet. I don’t know why, and neither does my ghost friend."""
dark,"""Why do vampires always seem sick? They're always coffin."""
sarcasm,"""I’m not insulting you; I’m describing you."""
sarcasm,"""I'm not arguing, I'm just explaining why I'm right."""
sarcasm,"""Oh, you think I'm sarcastic? Well, I never noticed because I'm too busy being sincere."""
sarcasm,"""I'd agree with you, but then we'd both be wrong."""
sarcasm,"""I'm sorry, I didn't realize you were an expert on my life and how I should live it. Please, continue."""
sarcasm,"""I’m not great at advice. May I interest you in a sarcastic comment?"""
sarcasm,"""I'm not saying you're stupid, but you might want to avoid sharp objects."""
sarcasm,"""You're not completely useless; you can always serve as a bad example."""
sarcasm,"""Do I listen to pop music because I’m depressed, or am I depressed because I listen to pop music?"""
sarcasm,"""Oh, I’m sorry. Did the middle of my sentence interrupt the beginning of yours?"""
sarcasm,"""You bring everyone so much joy—when you leave the room."""
sarcasm,"""Sarcasm is the body's natural defense against stupidity."""
sarcasm,"""I’d explain it to you, but I left my crayons at home."""
sarcasm,"""If I wanted to hear from an idiot, I’d have farted."""
sarcasm,"""I’d agree with you, but I’m too busy rolling my eyes."""
sarcasm,"""I don’t believe in plastic surgery. But in your case, go ahead."""
sarcasm,"""I’m not lazy. I’m on energy-saving mode."""
sarcasm,"""I didn’t fall. I’m just spending some quality time with the floor."""
sarcasm,"""I’ve seen more maturity in a 3-year-old’s temper tantrum."""
sarcasm,"""I’d slap you, but that would be animal abuse."""
sarcasm,"""You have your entire life to be a genius. Why start now?"""
sarcasm,"""Don’t take yourself so seriously—no one else does."""
sarcasm,"""If only sarcasm burned calories."""
sarcasm,"""I’m not always sarcastic. Sometimes, I’m sleeping."""
sarcasm,"""You look good when your mouth is closed."""
sarcasm,"""I was going to give you a nasty look, but I see you’ve already got one."""
sarcasm,"""I’m sorry, I forgot. I only exist when you need something."""
sarcasm,"""You'd be in good shape… if round was a shape."""
sarcasm,"""Remember, everyone seems normal until you get to know them."""
sarcasm,"""Well, aren’t you just a ray of sarcastic sunshine?"""
sarcasm,"""I’d love to see things from your point of view, but I can’t seem to get my head that far up my own butt."""
sarcasm,"""You have the right to remain silent because whatever you say will probably be stupid."""
sarcasm,"""You think I’m sarcastic? You should meet my other personalities."""
sarcasm,"""I’ll try being nicer if you try being smarter."""
sarcasm,"""Why don’t you slip into something more comfortable? Like a coma."""
sarcasm,"""You bring so much joy. You know, like a never-ending traffic jam."""
sarcasm,"""I’m not a professional, but I play one on the internet."""
sarcasm,"""Sarcasm—one of the many services I offer."""
sarcasm,"""Are you always this stupid, or are you making a special effort today?"""
sarcasm,"""You look like something I drew with my left hand."""
sarcasm,"""Isn't it great how I can be sarcastic without even opening my mouth?"""
sarcasm,"""I’m not ignoring you, I’m just giving you a chance to catch up with my brilliance."""
sarcasm,"""I don’t need anger management. You need to stop making me angry."""
sarcasm,"""Some people bring happiness wherever they go; others, whenever they go."""
sarcasm,"""I have a million dollar smile, but my sarcasm is priceless."""
sarcasm,"""Are you still talking? I thought you were finished an hour ago."""
sarcasm,"""I’m not always late. Sometimes, the universe just aligns in such a way that I happen to arrive after the agreed time."""
sarcasm,"""I love deadlines. I love the whooshing sound they make as they fly by."""
sarcasm,"""Sarcasm is the brain's natural defense against the less intelligent."""
sarcasm,"""I'm not a fan of the fact that sarcasm isn't widely recognized as a skill on job applications."""
dad,"""Why don't skeletons fight each other? They don't have the guts."""
dad,"""I only know 25 letters of the alphabet. I don't know Y."""
dad,"""Why don’t eggs tell jokes? They’d crack each other up."""
dad,"""I’m on a seafood diet. I see food and I eat it."""
dad,"""How do you organize a space party? You planet."""
dad,"""What do you call fake spaghetti? An impasta."""
dad,"""I used to be a baker, but I couldn’t make enough dough."""
dad,"""Why don’t skeletons fight each other? They don’t have the guts."""
dad,"""I told my wife she was drawing her eyebrows too high. She looked surprised."""
dad,"""I stayed up all night to see where the sun went, and then it dawned on me."""
dad,"""The rotation of Earth really makes my day."""
dad,"""How do cows stay up to date? They read the moos-paper."""
dad,"""Why don’t you ever see elephants hiding in trees? Because they’re so good at it."""
dad,"""I invented a new word! Plagiarism."""
dad,"""I would tell you a chemistry joke, but I know I wouldn’t get a reaction."""
dad,"""I ordered a chicken and an egg from Amazon. I’ll let you know."""
dad,"""Why did the scarecrow win an award? Because he was outstanding in his field."""
dad,"""Why don’t skeletons ever go trick or treating? Because they have no body to go with."""
dad,"""Want to hear a joke about construction? I’m still working on it."""
dad,"""Did you hear about the cheese factory that exploded? There was nothing left but de-brie."""
dad,"""Why do cows have hooves instead of feet? Because they lactose."""
dad,"""What do you call a factory that makes okay products? A satisfactory."""
dad,"""I told my wife she should embrace her mistakes… she gave me a hug."""
dad,"""Why couldn’t the bicycle stand up by itself? It was two tired."""
dad,"""Did you hear the rumor about butter? Well, I’m not going to spread it."""
dad,"""I used to play piano by ear, but now I use my hands."""
dad,"""Why was the math book sad? It had too many problems."""
dad,"""I’m reading a book on anti-gravity. It’s impossible to put down!"""
dad,"""How does a penguin build its house? Igloos it together."""
dad,"""What’s the best time to go to the dentist? Tooth-hurty."""
dad,"""Why can’t you give Elsa a balloon? Because she will let it go."""
dad,"""I don’t trust stairs because they’re always up to something."""
dad,"""What do you call an elephant that doesn’t matter? An irrelephant."""
dad,"""Why don’t some couples go to the gym? Because some relationships don’t work out."""
dad,"""I’m terrified of elevators, so I’m going to start taking steps to avoid them."""
dad,"""Why did the coffee file a police report? It got mugged."""
dad,"""How does a taco say grace? Lettuce pray."""
dad,"""Why don’t oysters donate to charity? Because they’re shellfish."""
dad,"""I made a pencil with two erasers. It was pointless."""
dad,"""I used to hate facial hair, but then it grew on me."""
dad,"""I’m reading a book about anti-gravity. It’s impossible to put down!"""
dad,"""Did you hear about the guy who invented Lifesavers? He made a mint."""
dad,"""What kind of shoes do ninjas wear? Sneakers."""
dad,"""How do you make holy water? You boil the hell out of it."""
dad,"""Why don’t skeletons fight each other? They don’t have the guts."""
dad,"""Why did the golfer bring two pairs of pants? In case he got a hole in one."""
dad,"""What do you call cheese that isn't yours? Nacho cheese."""
dad,"""Why do seagulls fly over the ocean? Because if they flew over the bay, they’d be bagels."""
dad,"""What did the buffalo say to his son when he left for college? Bison."""
dad,"""Why was the broom late? It swept in."""
relationships,"""Marriage is when a man and woman become one. The trouble starts when they try to decide which one."""
relationships,"""My wife told me to stop impersonating a flamingo. I had to put my foot down."""
relationships,"""Relationships are like algebra. Have you ever looked at your X and wondered Y?"""
relationships,"""Love is telling someone to go to hell and worrying about them getting there safely."""
relationships,"""Before I got married I didn’t realize that I could be wrong about everything."""
relationships,"""Marriage is just texting each other ‘Do we need anything from the store?’ a bunch of times until one of you dies."""
relationships,"""They say you can’t fix a broken relationship. But if duct tape can fix broken chairs, surely there’s hope for us?"""
relationships,"""My wife and I were happy for 20 years, then we met."""
relationships,"""When I asked my wife what she wanted for her birthday, she said ‘nothing would make me happier than a diamond necklace.’ So I got her nothing."""
relationships,"""Marriage is like a walk in the park... Jurassic Park."""
relationships,"""They say money can’t buy love, but somehow my wife still manages to shop."""
relationships,"""Why do relationships start off so fun and then turn into the Hunger Games?"""
relationships,"""A husband is someone who, after taking the trash out, gives the impression he’s cleaned the whole house."""
relationships,"""I love my relationship with my wife. She gives me sound advice 99% of the time, and sound sleep the other 1%."""
relationships,"""Marriage is just another way to find out how often you can disagree on the same topic."""
relationships,"""Love is like Wi-Fi: you can't see it, but you know when it's not working."""
relationships,"""I told my wife she should embrace her mistakes. She gave me a hug."""
relationships,"""Before we got married, my wife asked me what I would do without her. I said, ‘get some sleep.’"""
relationships,"""A relationship is when one person is always right and the other person is the husband."""
relationships,"""I told my wife she was drawing her eyebrows too high. She looked surprised."""
relationships,"""The key to a successful marriage is communication. No one ever said you had to listen."""
relationships,"""I asked my wife what she wanted for Valentine’s Day. She told me nothing would make her happier, so I got her nothing. It was a mistake."""
relationships,"""My girlfriend told me I care more about my video games than our relationship. She’s wrong. I love both of them equally."""
relationships,"""Behind every angry woman stands a man who has absolutely no idea what he did wrong."""
relationships,"""Relationships are a lot like algebra... I can’t solve any of them either."""
relationships,"""Marriage is finding someone who can deal with your level of weirdness."""
relationships,"""The most effective way to remember your wife’s birthday is to forget it once."""
relationships,"""Marriage is like a deck of cards. In the beginning, all you need is two hearts and a diamond. By the end, you wish you had a club and a spade."""
relationships,"""Arguing with your partner is like trying to read Terms and Conditions: you eventually give up and say ‘I agree.’"""
relationships,"""My wife and I always compromise. I admit I'm wrong, and she agrees with me."""
relationships,"""Being in a relationship is all about compromise. For example, she listens, and I don’t talk."""
relationships,"""Love is blind, but marriage is an eye-opener."""
relationships,"""Marriage is like a workshop: the husband works, and the wife shops."""
relationships,"""Why don’t relationships work at the gym? Because some people just don’t work out."""
relationships,"""Being in love is like riding a roller coaster—there are ups and downs, and sometimes you throw up."""
relationships,"""There are two kinds of people in a relationship: those who apologize, and those who are never wrong."""
relationships,"""Relationships are like fine wine—they start off fresh and exciting, but eventually, you just drink to survive."""
relationships,"""The secret to a happy marriage remains a secret."""
relationships,"""Being in a relationship is great, but sometimes I just want to be alone... together."""
relationships,"""I told my partner they should embrace their mistakes. They gave me a hug."""
relationships,"""My wife thinks I’m obsessed with football. She thinks it’s getting in the way of our relationship. I told her I’m actually a soccer fan, so I don’t know what she’s talking about."""
relationships,"""Marriage is like a phone battery: it starts off fully charged, but by the end of the day, you're at 10% and need to recharge."""
relationships,"""The best part about being in a relationship is having someone to share the blame with."""
relationships,"""In a relationship, the best kind of argument is the one you don’t have to participate in."""
relationships,"""Marriage is the triumph of hope over experience."""
relationships,"""There are two kinds of people in a relationship: those who admit they’re wrong, and those who are lying."""
relationships,"""I asked my wife what she wanted for Valentine’s Day. She told me nothing would make her happier, so I got her nothing. It was a mistake."""
relationships,"""My girlfriend told me I care more about my video games than our relationship. She’s wrong. I love both of them equally."""
relationships,"""Behind every angry woman stands a man who has absolutely no idea what he did wrong."""
relationships,"""Relationships are a lot like algebra... I can’t solve any of them either."""
surreal,"""Why don’t crabs donate? Because they’re shellfish about their money."""
surreal,"""I threw a boomerang a few years ago. Now I live in constant fear."""
surreal,"""I went to buy some camouflage pants, but I couldn’t find any."""
surreal,"""I spilled spot remover on my dog, and now he’s gone."""
surreal,"""Do cows get sad because of their mooo-d swings?"""
surreal,"""If you choke a Smurf, what color does it turn?"""
surreal,"""I dreamt I was a muffler last night. I woke up exhausted."""
surreal,"""I asked the librarian if the library had any books on paranoia. She whispered, 'They're right behind you.'"""
surreal,"""Why do bananas wear sunscreen? Because they peel."""
surreal,"""If a turtle doesn’t have a shell, is he homeless or naked?"""
surreal,"""I asked the gym instructor if he could teach me to do the splits. He said, 'How flexible are you?' I said, 'I can’t make it on Tuesdays.'"""
surreal,"""Why don’t some couples go to the gym? Because some relationships don’t work out."""
surreal,"""If I had a dollar for every time someone told me to put my shoes on, I'd have a bunch of dollars and no shoes."""
surreal,"""I told my computer I needed a break, and now it won’t stop sending me Kit-Kats."""
surreal,"""I was wondering why the Frisbee kept getting bigger, and then it hit me."""
surreal,"""If you crossed a joke with a rhetorical question, would anyone laugh?"""
surreal,"""I don’t trust stairs. They’re always up to something."""
surreal,"""I poured root beer in a square glass. Now I just have beer."""
surreal,"""If life gives you melons, you might be dyslexic."""
surreal,"""I’m reading a book on anti-gravity. It’s impossible to put down."""
surreal,"""If a parsley farmer gets sued, can they garnish his wages?"""
surreal,"""Why did the scarecrow win an award? Because he was outstanding in his field."""
surreal,"""If the early bird gets the worm, I’ll sleep in and order pancakes."""
surreal,"""I told my wife she was drawing her eyebrows too high. She looked surprised."""
surreal,"""I stayed up all night to see where the sun went, and then it dawned on me."""
surreal,"""If Cinderella’s shoe fit perfectly, why did it fall off?"""
surreal,"""I wanted to be a professional fisherman, but I couldn’t live off my net income."""
surreal,"""I’ve always wondered: Do cemetery workers prefer the graveyard shift?"""
surreal,"""I told my wife she should embrace her mistakes. She gave me a hug."""
surreal,"""If two wrongs don’t make a right, try three."""
surreal,"""If you can’t tell if a plane is flying low or just on the ground, does that mean it’s grounded?"""
surreal,"""If you cross a snowman with a vampire, you get frostbite."""
surreal,"""If a mime breaks his silence, do the trees still fall in the forest?"""
surreal,"""The past, the present, and the future walked into a bar. It was tense."""
surreal,"""I threw my clock out the window because I wanted to see time fly."""
surreal,"""If you don’t pay your exorcist, do you get repossessed?"""
surreal,"""If you boil a clown, do you get laughing stock?"""
surreal,"""I asked my wife if I was annoying her. She said, 'Not as much as gravity.'"""
surreal,"""If a cyclops closes his eye, is he blinking or winking?"""
surreal,"""I accidentally swallowed some food coloring. The doctor says I’m fine, but I feel like I’ve dyed a little inside."""
surreal,"""If you drink a gallon of water a day, you’ll be hydrated and spend half the day in the bathroom."""
surreal,"""I wanted to be an astronaut, but I don’t think I’d be able to handle the space."""
surreal,"""If you cross an octopus with a cow, you get a milkshake that takes eight hands to drink."""
surreal,"""I asked my wife if she wanted to go to the beach. She said, 'I sea what you did there.'"""
surreal,"""If I had a dollar for every time I lost something, I’d probably lose that dollar too."""
surreal,"""Why don’t skeletons fight? Because they don’t have the guts."""
surreal,"""If you’re ever attacked by a group of clowns, go for the juggler."""
surreal,"""If I told you I’d been eating invisible pie, would you believe me?"""
surreal,"""If two mind-readers read each other's minds at the same time, whose thoughts are they thinking?"""
surreal,"""I told my refrigerator a joke. It left me cold."""
topical,"""I just got a new job at the bakery because I kneaded dough."""
topical,"""Why did the chicken cross the road? To socially distance."""
topical,"""The only thing spreading faster than COVID-19 is my waistline."""
topical,"""I saw a documentary on how ships are kept together. It was riveting."""
topical,"""Why did the politician bring a ladder to the debate? To raise his platform."""
topical,"""My resolution this year is to be more optimistic. Even though I know it'll fail."""
topical,"""Why don’t scientists trust atoms anymore? Because they make up everything."""
topical,"""I started investing in stocks—beef, chicken, and vegetable. One day, I hope to be a bouillonaire."""
topical,"""The price of Bitcoin is dropping faster than my hope for the future."""
topical,"""I was going to tell a joke about a pizza delivery guy, but it would’ve been too cheesy."""
topical,"""The government might shut down again, but my love for snacks never will."""
topical,"""I bought some shoes from a drug dealer. I don’t know what he laced them with, but I’ve been tripping all day."""
topical,"""Did you hear about the cheese factory that exploded? There was nothing left but de-brie."""
topical,"""This just in: The Kardashians are still famous for reasons we can't explain."""
