Volcano,Latitude,Longitude,Eruption,Plume style,Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-Väisälä frequency (1/s),Average wind speed (m/s),Average wind shear (1/s),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
Cerro Negro,12.506,-86.702,1995,Weak,29/11/1995 00:00:00,728,3.5,1.5,3.50E+09,1.00E+09,78,24,3.3,2,0.0131130380947679,6.43381583634987,0.00279870578048044,294.315470714688,932.377400575458,87.2090280940607,0.014740289524599,"Global Volcanism Program (1995), Roggensack et al (1997), Hills et al (1998)","Hills et al (1998) suggest a start of the main phase ""by november 29"" but increasing activity in the 5 previous days, resulting again in a large uncertainty on the duration during which the ash layer was deposited. Hills et al (1998) find a volume of 2.1 without extrapolation and 2.9 106 m3 with extrapolation. When calculating the erupted mass, we thus assumed that the mean volume estimate was 2.9 106 m3 with an uncertainty of 0.8 106 m3."
Chaiten,-42.833,-72.646,May 2008 1,Unknown,02/05/2008 08:00:00,1122,12.5,4,4.10E+09,2.80E+09,6,2,4,,0.0130354223756049,33.2063668033374,0.00473596761615661,279.470000127682,874.428328004745,67.729764171578,0.00457490231595777,"Folch et al (2008),  Carn et al (2009), Watt et al (2009), Castro et al (2010), Lara (2010), Alfano et al (2011), Major and Lara (2013), Prata et al (2015), Alfano et al (2016) ","Quite large uncertainties on chronology and deposit interpretation, that may not be reflected in uncertainties given in Alfano et al (2011) for the erupted mass of each phase. We arbitrarily doubled their uncertainty."
Chaiten,-42.833,-72.646,May 2008 2,Unknown,02/05/2008 20:00:00,1122,9,3,2.60E+11,4.00E+10,88,9,4,,0.0119905960128514,23.2497970119898,0.00430605811243714,277.176005574519,860.358307665652,61.3388539964296,0.00363755800559307,"Folch et al (2008),  Carn et al (2009), Watt et al (2009), Castro et al (2010), Lara (2010), Alfano et al (2011), Major and Lara (2013), Prata et al (2015), Alfano et al (2016) ","Quite large uncertainties on chronology and deposit interpretation, that may not be reflected in uncertainties given in Alfano et al (2011) for the erupted mass of each phase. We arbitrarily doubled their uncertainty."
Chaiten,-42.833,-72.646,June 2008,Strong,06/05/2008 12:32:00,1122,21,5,2.25E+11,1.00E+11,5,3,4,,0.0176553214054519,24.6896187885289,0.00157688147355302,278.034096186695,868.845667719301,74.1428988793191,0.00461297387007092,"Folch et al (2008),  Carn et al (2009), Watt et al (2009), Castro et al (2010), Lara (2010), Alfano et al (2011), Major and Lara (2013), Prata et al (2015), Alfano et al (2016) ","Quite large uncertainties on chronology and deposit interpretation, that may not be reflected in uncertainties given in Alfano et al (2011) for the erupted mass of each phase. We arbitrarily doubled their uncertainty."
Cotopaxi,-0.677,-78.436,2015,Unknown,14/08/2015 09:02:00,5987,6.5,2.5,1.58E+08,4.50E+07,10,6,,,0.010481314237991,4.78589067167546,0.00109404118254989,266.619807480597,493.280219565411,70.3599032262173,0.0033134410085545,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016)",Duration based on seismic data from Bernard et al (2016)
Cotopaxi,-0.677,-78.436,2015,Weak,15/08/2015 09:00:00,5987,2.5,1.5,7.65E+08,1.65E+08,390,90,,,0.0117056984046874,6.53587531846804,0.00365488600564812,267.812410651722,493.027730310242,51.146845315048,0.00264757805476049,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016)",Duration based on seismic data from Bernard et al (2016)
Cotopaxi,-0.677,-78.436,2015,Unknown,02/10/2015 00:00:00,5987,2,1.5,2.28E+08,5.50E+07,310,170,,,0.0119230749034147,4.49021615955827,0.0026223332324799,268.454938323578,493.202378934524,48.4100682103598,0.00261616049626972,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016)",Duration based on seismic data from Bernard et al (2016)
Cotopaxi,-0.677,-78.436,2015,Unknown,04/11/2015 00:00:00,5987,1.5,1,3.50E+07,6.30E+06,600,400,,,0.0123945190490353,5.23747108498197,0.00548219360748666,268.032100985795,492.576207384518,55.7093470241838,0.00293014954777758,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016)",Duration based on seismic data from Bernard et al (2016)
El Chichon,17.36,-93.228,1982 A1,Strong,29/03/1982 05:32:00,1150,18,3,7.50E+11,5.00E+11,5,0.5,7,3,0.0127587738645083,7.58312655217515,0.000583871678948099,292.447724471208,888.163101382099,76.9501025700372,0.0120756807869774,"Global Volcanism Program ( March/April 1982), March and April, Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008)","In calculating the erupted mass, we took the mean volume estimate to be the one obtained with extrapolation, and the lower bound estimate to be the mapped (no extrapolation) volume to get an uncertainty."
El Chichon,17.36,-93.228,1982 B,Unknown,04/04/1982 01:35:00,1150,21.5,3.5,9.75E+11,5.00E+11,4,0.5,7,3,0.0153732936061607,9.57332746894004,0.000718002211929796,297.471094521155,887.974645612942,53.5212917643742,0.0112416166366535,"Global Volcanism Program ( March/April 1982), March and April, Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008)","In calculating the erupted mass, we took the mean volume estimate to be the one obtained with extrapolation, and the lower bound estimate to be the mapped (no extrapolation) volume to get an uncertainty."
El Chichon,17.36,-93.228,1982 C,Unknown,04/04/1982 11:22:00,1150,20,4,1.00E+12,6.00E+11,7,0.5,7,3,0.0142259897546661,9.15481972311219,0.000773606532146106,295.373971252624,888.277436385248,62.0575616568556,0.0115803018258041,"Global Volcanism Program ( March/April 1982), March and April, Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008)","In calculating the erupted mass, we took the mean volume estimate to be the one obtained with extrapolation, and the lower bound estimate to be the mapped (no extrapolation) volume to get an uncertainty."
Etna,37.734,15.0004,July 2001,Weak,21/07/2001 10:00:00,2570,1.4,1,1.65E+09,6.50E+08,86,12,2.9,1,0.0125904970437977,11.5225043153824,0.0122984115956217,280.594739393654,748.922776014798,45.2168724326631,0.00387088572855471,"Métrich et al (2004), Scollo et al (2007)","The eruption seems to end late on July 24 but we found no precise timing in the litterature, so that we assumed an end at midnight with uncertainty of 12 hours."
Etna,37.734,15.0004,Oct 2002 A,Weak,27/10/2002 02:00:00,2750,3.2,0.5,8.70E+08,4.30E+08,10,2,3,1,0.00997321047511213,12.2193198063107,0.00592444099809704,278.446938201935,737.307597304513,18.0778123423122,0.00137928845212371,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016)",We assumed 50% uncertainty on erupted mass
Etna,37.734,15.0004,Oct 2002  B,Unknown,28/10/2008 07:30:00,2750,4.2,0.5,9.50E+08,4.70E+08,6,2,3,1,0.0121677379701125,14.7944529243835,0.00550422593607299,276.306926223032,731.51471425647,80.620934596161,0.00519362163351264,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016)",We assumed 50% uncertainty on erupted mass
Etna,37.734,15.0004,Oct 2002 C,Unknown,31/10/2002 12:00:00,2750,3.7,0.5,4.50E+08,2.20E+08,4,2,3,1,0.00939028106074846,15.5883913655306,0.00731135630216667,277.858433898112,733.899767238265,21.0517420313467,0.00151893985044633,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016)",We assumed 50% uncertainty on erupted mass
Etna,37.734,15.0004,Oct 2002 D,Unknown,03/11/2002 23:00:00,2750,2.9,0.5,1.40E+09,7.00E+08,18,2,3,1,0.0116755837701416,10.6704895476102,0.00590841157561304,275.405596677651,724.906246630816,70.4289401647738,0.0043738426592778,"Andronico et al (2005), Spilliaert et al 2006, Andronico et al (2008), personnal communication with Daniele Andronico (December 2016)",We assumed 50% uncertainty on erupted mass
Etna,37.734,15.0004,Nov 2006,Weak,24/11/2006 02:30:00,2800,1.65,0.35,1.80E+08,6.00E+07,10,1,1,0.9,0.0134584049841282,11.0703553106582,0.0101094404947906,273.731154490897,722.494010426772,39.8875328958411,0.00218611486160205,"Andronico et al (2009), Collins et al (2009), Andronico et al (2014)",
Eyjafjallajökull,63.633,-19.633,April-May  2010,Distorted,14/04/2010 01:00:00,1660,4,0.6,1.30E+11,3.00E+10,47,6,2,1,0.0121343796436941,24.5032538383872,0.00962871326071932,267.32763688118,830.682475936744,79.4977936377578,0.00236870349417342,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Gudmundson et al (2012)",
Eyjafjallajökull,63.633,-19.633,April-May  2010,Distorted,17/04/2010 00:00:00,1660,3.7,0.8,4.00E+10,1.00E+10,30,8,2,1,0.0139057728032481,13.731834036183,0.00613274862300384,259.667748706568,825.986426148379,47.1327556707934,0.000800650887155225,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Gudmundson et al (2012)",
Eyjafjallajökull,63.633,-19.633,April-May  2010,Weak,04/05/2010 18:30:00,1660,3.5,0.5,3.80E+10,1.50E+10,116,0.5,2,1,0.0125621440876126,15.8078827671068,0.00721211023841764,276.017811168596,836.52607404091,53.0407487764151,0.00300812021070425,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Bonadonna et al (2011), Gudmundson et al (2012)","Within the April 18 - May 21 period, two mass measurements are available:  Gudmundson et al. (2012) for the entire period and Bonadonna et al. (2011)  for May 4-8. We thus divided into one phase from May 4 to 8, and one phase that is the combined April 18-May 4 and May 8-May 21 periods."
Eyjafjallajökull,63.633,-19.633,April-May  2010,Weak,18/04/2010 06:00:00,1660,2.7,0.5,2.10E+11,7.00E+10,732,12,2,1,0.0131282050533638,8.06667092757797,0.00491724965893684,268.823118645922,826.631252884262,58.1805187964747,0.00212596320938974,"Fentje et al (2010), Thordarson et al (2011), Arason et al (2011), Bonadonna et al (2011), Gudmundson et al (2012)","Within the April 18 - May 21 period, two mass measurements are available:  Gudmundson et al. (2012) for the entire period and Bonadonna et al. (2011)  for May 4-8. We thus divided into one phase from May 4 to 8, and one phase that is the combined April 18-May 4 and May 8-May 21 periods."
Fuego,14.473,-90.88,Sep 1971,Unknown,14/09/1971 18:45:00,3763,10,5,2.30E+11,1.50E+11,10,2,,,0.0102430277880284,5.98356450994137,0.000938235559961786,279.582699599875,648.599597894945,34.0895250030917,0.00309914416281072,"Bonnis and Salazar (1973), Rose et al (1973), Sulpizio (2005)","We could only one vague visual report (Bonnis and Salazar, 1973) for plume height and thus assumed a 50% uncertainty. In calculating the erupted mass, we took the mean volume estimate to be the one obtained with extrapolation, and the lower bound estimate to be the mapped (no extrapolation) volume to get an uncertainty."
Fuego,14.473,-90.88,Oct 1974,Strong,14/10/1974 08:00:00,3763,10,4,5.10E+10,1.60E+10,5,1,2.9,2.4,0.00993766026717514,7.37097869779884,0.0011532791277761,277.710108372469,648.910486553088,84.3593370752122,0.00676267480136268,"Global Volcanism Program (1974),  Rose et al (1978), Murrow et al (1980), Rose et al (2008)",No uncertainty for duration; we arbitrarly assigned a 1 hour uncertainty.
Grímsvötn,64.416,-17.316,2004 C,Unknown,02/11/2004 01:27:00,1400,8,1.5,3.24E+10,1.20E+10,18,1,,,0.0115421387208408,26.611603752753,0.00548768942959195,274.060021635577,840.332176935735,95.9032805311457,0.00465450447526178,"Oddsson et al (2012), Jude-Eton et al (2012)","The uncertainty on erupted mass seems low given in Jude-Eton et al (2012) seems low given that the deposit was sampled  more than a year after the eruption, and that part of the deposit may be from pyroclastic density currents. We arbitrarly double the uncertainty they report. Duration is based on seismic, plume height and visual: we assume 1h uncertainty"
Grímsvötn,64.416,-17.316,2004 E,Unknown,02/11/2004 21:03:00,1400,7.4,1.5,1.22E+10,4.00E+09,13,1,,,0.0116708536494265,23.6170609743025,0.00556355824227807,273.070509359561,835.504431139161,98.2306411911753,0.00444601962936948,"Oddsson et al (2012), Jude-Eton et al (2012)","The uncertainty on erupted mass seems low given in Jude-Eton et al (2012) seems low given that the deposit was sampled  more than a year after the eruption, and that part of the deposit may be from pyroclastic density currents. We arbitrarly double the uncertainty they report."
Grímsvötn,64.416,-17.316,2011,Strong,21/05/2011 19:00:00,1450,10,2,7.30E+11,1.90E+11,64,16,,,0.0146035952733417,6.59153705978253,0.000790481337262575,266.868734409827,836.962096608609,77.9917125128628,0.00221666487197603,"Global Volcanism Program (2011), Petersen et al (2012), Marzano et al (2013), Hreinsdottir et al (2014)",
Hekla,63.983,-19.666,March 1947,Unknown,29/03/1947 06:51:00,1447,19,8,1.80E+11,9.00E+10,3,2,,,0.0179724266355993,18.55902340636,0.00193413553259674,261.341962679117,845.662062386722,92.6454077446098,0.00169234830798071,"Thorarinson (1950), Bonadonna and Houghton (2005)","Deposit density could not be found for this eruption, and was assumed similar to the one of later eruptions with an uncertainty of 30%."
Hekla,63.983,-19.666,May 1970,Unknown,05/05/1970 22:10:00,630,12.5,3.5,4.50E+10,2.20E+10,2.33,0.5,4,2,0.0161025106969382,20.8755999515461,0.00274534845499459,273.514381721662,929.460556325946,80.7073066463991,0.00337685621889597,"Thorarinsson and Sigvaldason (1972), Baldridge et al (1973)",We assumed 50% uncertainty on erupted mass
Hekla,63.983,-19.666,August 1980,Distorted,17/08/1980 13:27:00,1490,10,5,4.20E+10,2.10E+10,4,2,,,0.012745803756092,10.8192117785518,0.00215986075832085,273.236714036028,846.950950081111,74.0693520941063,0.00333303258444303,"Gronvold et al (1983), ",We assumed 50% uncertainty on erupted mass
Hekla,63.983,-19.666,January 1991,Unknown,17/01/1991 17:00:00,1050,11,3,1.30E+10,6.00E+09,2,1,1.2,0.4,0.0160590688533878,18.7944896208381,0.00293428809867886,267.825740202742,866.144326530382,83.4122022567841,0.00247880899789501,"Gudmundson et al (1992), Sulpizio (2005),  Lucic et al (2016)",We assumed 50% uncertainty on erupted mass. We found only two estimates (from Gudmundson et al 1992) for plume height (one from satelite and one from an airplane); we assumed an uncertainty of 3km on plume height despite there is only a 0.5km difference between these two estimate.
Hekla,63.983,-19.666,February 2000,Unknown,26/02/2000 18:19:00,1490,10,3,7.00E+09,3.50E+09,3.66,0.5,2.4,0.7,0.012922757994509,12.5280667695253,0.00252976100166415,263.235746239753,810.66420156159,73.5702402481673,0.00163934282146797,"Rose et al (2003), Moune et al (2007)",We assumed 50% uncertainty on erupted mass
Mt Hudson,-45.9,-72.97,August 1991,Strong,12/08/1992 16:00:00,1905,12.5,3,6.50E+12,1.80E+12,58,3,2,1,0.0144932745866823,30.0491004247013,0.00401376445717754,271.060454368071,797.821843325593,83.4616308594301,0.00353203562261479,"Scasso et al (1994), Bonadonna and Houghton (2005), Kratzmann et al (2009), Kratzmann et al (2010), personnal communication with David Kratzmann (November 2016)",We assumed a 3 hr uncertainty on the eruption duration
Kasatochi,52.177,-175.08,August 2008,Unknown,08/08/2008 04:35:00,300,10.7,3,2.40E+11,1.00E+11,15,4,6,0.9,0.011492726709321,13.1637714421842,0.00241449369672986,283.297516516089,978.049871613618,98.355412194893,0.00781618209980907,"Izbekov et al (2009), Waythomas et al (2010), Corradini et al (2010), Bitar et al (2010)",Waythomas et al (2010) report volume estimate but not the bulk density of the deposit. We assumed a density of 1100km/m3 with a 30% uncertainty.
Kelut,-7.93,112.308,1990,Unknown,10/02/1990 04:41:00,1731,10.3,2,8.00E+10,4.00E+10,4.5,1,,,0.0112865222930764,5.2974799676878,0.000697097070866786,289.939985453293,830.535978703924,67.8878149192114,0.00977710946024303,"Global Volcanism Program (1990), Bourdier et al (1997)",We assumed 50% uncertainty on erupted mass
Kelut,-7.93,112.308,2014,Unknown,13/02/2014 15:50:00,1731,17,3,4.90E+11,1.60E+11,2.75,0.75,1.5,0.8,0.0117117740226967,14.1321499454684,0.00160189705591339,289.737909094599,828.637621787068,72.7552632567695,0.0105178289485578,"Suzuki et al (2014), Cassidy et al (2015), Caudron et al (2015), Kristiansen et al (2015), Vernier et al (2016), Kylling (2016), personnal communication with Fukashi Maeno (July 2016)",
Merapi,-7.542,110.442,2010,Unknown,04/11/2010 17:05:00,2968,14.5,2,3.70E+10,1.90E+10,30,6,5,1,0.0105571178149556,6.3404903115921,0.000792861066178213,283.330160640038,714.829128224306,85.8738192868786,0.00926177157254899,"Global Volcanism Program (2011), Surano et al (2012), Costa et al (2013), Solikin et al (2015) Shibata and Kinoshita (2016)",
Miyakejima,34.094,139.526,August 2000,Distorted,09/08/2000 23:00:00,775,8,1.5,1.20E+09,6.00E+08,4,2,2.2,1.2,0.0111367529751868,5.26237914210586,0.00115989664938819,295.290173923643,926.646815539236,69.4184453168389,0.012503702124535,"Nakada et al (2005), Geshi and Oikawa (2008), Saito et al (2010)",We assumed 50% uncertainty on erupted mass
Miyakejima,34.094,139.526,August 2000,Unknown,18/08/2000 08:05:00,775,16,2,1.10E+10,5.00E+09,3.5,0.5,2.2,1.2,0.0117062499093577,8.24960652732004,0.00102044620589319,295.098990495516,921.561659586819,84.4908218955596,0.0151043378492454,"Nakada et al (2005), Geshi and Oikawa (2008), Saito et al (2010)",We assumed 50% uncertainty on erupted mass
Mt St Helens,46.2,-122.18,1980,Unknown,18/05/1980 18:30:00,2550,15.5,4,6.00E+11,2.00E+11,9,0.5,1.7,0.6,0.0160270325492448,16.4437027974806,0.00156803581119871,276.409894722228,747.960432244191,31.2228136545462,0.00197580727029052,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Bonadonna and Costa (2012), Underwood et al (2013)",The beginning of the eruption is a lateral blast and this event could thus be regarded with care when testing model of volcanic plume with vertical injection. The vent height taken is the one after the eruption as most of the summit was likely blown during the lateral blast phase.
Mt St Helens,46.2,-122.18,1980,Unknown,25/05/1980 10:30:00,2550,4,1.5,5.80E+10,1.60E+10,19.5,3,1.7,0.6,0.0132340727818405,7.64402337287031,0.00268816722742746,270.566812701636,739.402148577663,83.7499590875277,0.00364050434758081,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Underwood et al (2013)",
Mt St Helens,46.2,-122.18,1980,Unknown,13/06/1980 05:11:00,2550,7.5,4,5.85E+10,1.35E+10,3.5,0.25,1.8,0.2,0.0100381364732015,11.1355489054495,0.00267720701195012,273.69227386699,747.25310913977,80.7604737419468,0.00415315325298616,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Underwood et al (2013)", The erupted mass estimate of Sarna-Wojciki et al (1981)  is a minimum estimate because of compaction and the absence of extrapolation. We assume that the actual erupted mass is 30% larger based on differences between  Sarna-Wojciki et al (1981) and Pyle (1989)/Bonadonna and Houghton (2005) for the earlier phases if this eruption. Uncertainty is taken so that the lower bound is the estimate by Sarna-Wojciki et al (1981).
