Event,,,,,,,,,,,Style,,Duration,,,,TEM,,,,,Density,,Tephra plume top height,,,,,Spreading height of the Umbrella Cloud,,,,,SO2 plume height,,,,,PDC,,TEM metadata,,,,,,Collection,,TGSD metadata,,,,TGSD ,Vent Diameter (m),,Exit velocity (m/s),,Magma water content (wt.%),,Magma temperature (deg C),,Atmospheric Conditions,,,,,,References
Bezymianny,"Bezymjannaja Sopka, Besymyannaya, Bezymyannyi",300250,19384,55.972,160.595,2882,2006,24 December,BEZ2006_01,24/12/2006 09:17:00,Unknown,Strong,1,0,0.5,2,5.10E+09,0,1.30E+09,1.90E+09,0,1750,no,13.5,0,2.5,0,v,9.5,0,1,0,s,Unknown,na,na,na,u,1.40E+11,3.50E+10,49,23,105,4,Unknown,0.2,negligible,Unknown,no,NA,NA,NA,Unknown,80,Unknown,Unknown,na,3.5,Unknown,Unknown,na,13.3269076039509,0.0168015223110881,0.00242979866494083,13.1796685990922,0.0170299591642769,0.00232934593304696,"Malik (2011), Carter et al (2011), Shcherbakov et al (2011), Moseenko and Malik (2015), Global Volcanism Program (2006)"
Bezymianny,"Bezymjannaja Sopka, Besymyannaya, Bezymyannyi",300250,19387,55.972,160.595,2882,2009,17 December,BEZ2009_01,16/12/2009 21:45:00,Unknown,Strong,2.9,0,1.75,1,3.40E+09,0,Unknown,Unknown,na,1750,no,11,1,3,1,u,7.5,0,2.5,0,u,Unknown,na,na,na,u,Unknown,Unknown,26,26,59,5,Unknown,0.1,negligible,Unknown,no,NA,NA,NA,Unknown,80,Unknown,Unknown,na,Unknown,na,Unknown,na,16.9180070423791,0.0162331605639438,0.00296726892928759,22.3527640960417,0.0152513958362206,0.00400005651180187,"Global Volcanism Program (December 2009), Moiseenko (2014)"
Calbuco,"Quellaipe, Nauga, Quellaype",358020,21076,-41.33,-72.618,2003,2015,22 April,CAL2015_01,22/04/2015 21:05:00,magmatic,Strong,1.5,0,0.07,0,1.01E+11,0,5.60E+10,5.60E+10,0,900,yes,20,0,3,0,"r,s",15,0,2,2,s,16,0,2,1,s,0.00E+00,Unknown,57,5,100,7,0.1,Unknown,negligible,0.03,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,3.5,0.5,Unknown,na,13.6772848408209,0.0151221406155508,0.00119958712538819,11.2480727470689,0.0146058349680121,0.0010332094592518,"Romero et al (2016), Castruccio et al (2016), Van Eaton et al (2016), Reckziegel et al (2016), Hayer et al (2016), Vidal et al (2016), Global Volcanism Program (2015),  Pardini et al. (2018), Montalbano et al (2017)"
Calbuco,"Quellaipe, Nauga, Quellaype",358020,21076,-41.33,-72.618,2003,2015,23 April,CAL2015_02,23/04/2015 04:00:00,magmatic,Unknown,6.12,0,0.12,1,2.81E+11,0,1.04E+11,1.04E+11,0,900,yes,21,0,3,0,"r,s",17.1,0,2,2,s,15,0,2,1,s,3.60E+10,2.40E+10,57,5,100,7,0.1,Unknown,negligible,0.03,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,3.5,0.5,Unknown,na,14.4544042715344,0.0154675450496268,0.00116024862740903,10.6422914702005,0.0147870368622415,0.000899387442960545,"Romero et al (2016), Castruccio et al (2016), Van Eaton et al (2016), Reckziegel et al (2016), Hayer et al (2016), Vidal et al (2016), Global Volcanism Program (2015),  Pardini et al. (2018), Montalbano et al (2017)"
Cerro Hudson,Cerro de los Ventisqueros ,358057,12299,-45.9,-72.97,1905,1991,"P1, August 8",CHU1991_01,08/08/1991 21:20:00,phreatomagmatic,Strong,16,1,1.5,2,2.00E+11,1,Unknown,Unknown,na,1000,yes,10.5,1,2.5,1,v,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,1.2,1.1,1050,50,11.8709470386937,0.0120556233153789,0.00258214048651949,12.6672810516794,0.0108486683389013,0.0029369224030357,"Scasso et al (1994), Bonadonna and Houghton (2005), Bonadonna and Costa (2012), Kratzmann et al (2009), Kratzmann et al (2010), personnal communication with David Kratzmann (November 2016), Naranjo et al (1993), Barton et al (1992), Global Volcanism Program (1991)"
Cerro Hudson,Cerro de los Ventisqueros ,358057,12299,-45.9,-72.97,1905,1991,"P2, August 12",CHU1991_02,12/08/1991 16:00:00,Unknown,Unknown,51,2,12,2,6.03E+12,0,2.20E+12,2.20E+12,0,900,yes,16,1,3,1,"v,s",17.5,0,3,2,s,Unknown,na,na,na,u,0.00E+00,0.00E+00,200,5,530,15,0.1,Unknown,negligible,0.5,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,2.2,1.4,972,52,32.5741636312725,0.0154219071610072,0.00380777015214754,31.0275806931019,0.0155096131101771,0.00353723574412992,"Scasso et al (1994), Bonadonna and Houghton (2005), Bonadonna and Costa (2012), Kratzmann et al (2009), Kratzmann et al (2010), personnal communication with David Kratzmann (November 2016), Naranjo et al (1993), Barton et al (1992), Global Volcanism Program (1991)"
Cerro Negro,"El Nuevo, Las Pilas",344070,10962,12.506,-86.702,631,1968,October-December,CNG1968_01,25/10/1968 03:00:00,Unknown,Weak,960,2,48,2,1.50E+10,0,5.00E+09,8.00E+09,1,1200,yes,2.3,1,1.3,1,v,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,Unknown,3,25,9,0.3,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,4.6992993470094,0.0114123274212887,0.00371986514394847,6.80561589752252,0.012065441309896,0.00654154827923488,"Global Volcanism Program (1968), Hills et al (1998), Sulpizio (2005)"
Cerro Negro,"El Nuevo, Las Pilas",344070,10964,12.506,-86.702,670,1971,3 February,CNG1971_01,03/02/1971 16:00:00,magmatic,Unknown,134,2,24,2,4.20E+10,0,1.20E+10,5.25E+10,1,1200,yes,6.5,1,3,1,v,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,20,4,50,7,0.1,Unknown,some,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.1,1.8,Unknown,na,4.70782951722356,0.0123891928860298,0.00119892159084256,6.00830821284764,0.0117373250620814,0.0014576153443798,"Global Volcanism Program (1971), Hills et al (1998), Sulpizio (2005), Portnyagin et al (2014)"
Cerro Negro,"El Nuevo, Las Pilas",344070,10965,12.506,-86.702,620,1992,9 April,CNG1992_01,10/04/1992 05:19:59,Unknown,Unknown,32.4,2,15.6,1,3.60E+10,0,2.47E+10,3.06E+10,1,1200,yes,5.5,1,2,1,"v,s",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,Unknown,Unknown,Unknown,5,1,Unknown,some,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,3.9,1.8,Unknown,na,7.23613601917835,0.0114255466438164,0.00222583077176456,8.79887134779546,0.0116468916469619,0.00236406681196415,"Global Volcanism Program (1992a,b) , Hills et al (1998), Portnyagin et al (2014), Bonadonna and Costa (2012), Roggensack et al (1997)"
Cerro Negro,"El Nuevo, Las Pilas",344070,10966,12.506,-86.702,630,1995,29 November,CNG1995_01,29/11/1995 06:00:00,Unknown,Unknown,84,2,12,1,3.44E+09,0,1.01E+09,Unknown,2,1200,yes,4.25,1,1.75,1,"v,s",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,Unknown,Unknown,Unknown,Unknown,8,0.5,Unknown,negligible,<0.25,no,NA,NA,NA,Unknown,Unknown,na,75,Unknown,3.3,2,1050,Unknown,6.62951483341364,0.0127906122964164,0.00302319199471904,10.0294585165251,0.0119083400066739,0.00418543432327772,"Global Volcanism Program (1995), Roggensack et al (1997), Hills et al (1998)"
Cerro Negro,"El Nuevo, Las Pilas",344070,10970,12.506,-86.702,728,1999,5 August,CNG1999_01,05/08/1999 09:41:00,magmatic,Unknown,30,0,2,1,1.30E+08,1,Unknown,Unknown,na,1000,yes,4.5,1,2.5,2,v,Unknown,na,na,na,u,Unknown,na,na,na,u,Unknown,Unknown,Unknown,Unknown,Unknown,6,1,Unknown,negligible,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,5.33357052353807,0.0124023312420107,0.00197617540579366,6.1626054024957,0.0120989206051565,0.00239489052190531,"Global Volcanism Program (1999), Global Volcanism Program (2000), La Femina et al. (2004)"
Chaitén,NA,358041,12271,-42.833,-72.646,1122,2008,layer alpha,CHA2008_01,02/05/2008 08:00:00,magmatic,Unknown,6,0,2,2,4.10E+09,0,1.40E+09,1.40E+09,0,997,yes,17,0,4,0,"v,s",9.5,0,3,1,s,Unknown,na,na,na,s,0.00E+00,Unknown,10,4,17,3,1,Unknown,negligible,8,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,14.8494244359251,0.0138273596439384,0.00161091393309522,16.198930771339,0.0134558424771209,0.00173946383857439,"Folch et al (2008),  Carn et al (2009), Watt et al (2009), Castro et al (2010), Lara (2010), Alfano et al (2011), Major and Lara (2013), Prata et al (2015), Alfano et al (2016), Bonadonna and Costa (2012), Durant et al (2012), Global Volcanism Program (2008)"
Chaitén,NA,358041,12271,-42.833,-72.646,1122,2008,layer A-M,CHA2008_02,03/05/2008 12:00:00,magmatic,Unknown,60,2,24,2,2.60E+11,0,2.00E+10,2.00E+10,0,997,yes,10,0,2,1,"v,s",4.3,1,2,2,s,Unknown,na,na,na,u,0.00E+00,Unknown,30,16,25,3,3,Unknown,negligible,8,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,18.8025803171305,0.0113949248922163,0.00377491140989701,22.3608407218073,0.0113963494373507,0.00446845785063657,"Folch et al (2008),  Carn et al (2009), Watt et al (2009), Castro et al (2010), Lara (2010), Alfano et al (2011), Major and Lara (2013), Prata et al (2015), Alfano et al (2016), Bonadonna and Costa (2012), Durant et al (2012), Global Volcanism Program (2008)"
Chaitén,NA,358041,12271,-42.833,-72.646,1122,2008,layer beta,CHA2008_03,06/05/2008 12:00:00,magmatic,Strong,3.5,2,2.5,2,2.20E+11,0,4.73E+10,4.73E+10,0,1250,yes,21,1,3,2,"v,u",14,1,4,1,s,Unknown,na,na,na,u,0.00E+00,Unknown,32,3,29,5,0.1,Unknown,negligible,8,yes,64,3,900,3.42227479210721,Unknown,na,Unknown,na,Unknown,na,Unknown,na,21.2421067268578,0.0164042890256211,0.00175524997332225,21.4156776504228,0.0163526207591097,0.00172751920250287,"Folch et al (2008),  Carn et al (2009), Watt et al (2009), Castro et al (2010), Lara (2010), Alfano et al (2011), Major and Lara (2013), Prata et al (2015), Alfano et al (2016), Bonadonna and Costa (2012), Durant et al (2012), Global Volcanism Program (2008)"
Chikurachki,"Tsikura, Tikura, Jackmosky, Chikura-dake",290360,18854,50.324,155.461,1815,1986,November,CHI1986_01,20/11/1986 01:00:00,magmatic,Unknown,72,2,24,1,2.60E+11,2,1.30E+11,Unknown,2,1600,yes,9.5,0,3,1,s,10,0,2,0,v,Unknown,na,na,na,u,Unknown,Unknown,37,3.5,18,5,5,Unknown,significant,Unknown,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,5.5,1.2,1045,135,4.94198032194334,0.013491275353202,0.00114506472719984,3.0400601944612,0.0128050119688625,0.000564683387669272,"Global Volcanism Program (November 1986), Belousova and Belousov (2001),  Gurenko et al (2005), Belousov et al (2003), personnal communication with Marina Belousova and Alexander Belousov (November 2016)"
Puyehue-Cordón Caulle,"Ranco , Caulle Grande",357150,20809,-40.59,-72.117,1470,2011,layer A-F,COR2011_01,04/06/2011 18:30:00,magmatic,Strong,27,2,3,2,4.50E+11,0,2.00E+11,2.00E+11,0,560,yes,11.8,0,1.9,0,"s,v",Unknown,na,na,na,u,14,1,1,0,s,6.00E+10,4.80E+10,65,1,240,7,0.1,Unknown,negligible,1-21,yes,18,5,200,-2.06709194497744,Unknown,na,Unknown,na,4.5,0.5,900,15,14.0538621380055,0.0123019348650146,0.00240811292213845,18.0151872153703,0.0124356673866639,0.00308069553142019,"Gilbert (2012), Pistolesi et al (2015), Bonadonna et al (2015), Bonadonna et al (2015), Elissondo et al (2016), Collini et al (2013), Carboni et al (2016)"
Puyehue-Cordón Caulle,"Ranco , Caulle Grande",357150,20809,-40.59,-72.117,1470,2011,layer H,COR2011_02,07/06/2011 03:00:00,magmatic,Unknown,9,2,3,2,1.30E+11,0,8.00E+10,8.00E+10,0,600,yes,11.1,1,1.1,1,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,s,Unknown,Unknown,55,6,240,5,0.2,Unknown,negligible,1-21,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.5,0.5,900,15,32.461032662297,0.0119426438951572,0.00568762147686045,39.6277332106549,0.0116892490157252,0.00686480690145553,"Gilbert (2012), Pistolesi et al (2015), Bonadonna et al (2015), Bonadonna et al (2015), Elissondo et al (2016), Collini et al (2013), Carboni et al (2016)"
Puyehue-Cordón Caulle,"Ranco , Caulle Grande",357150,20809,-40.59,-72.117,1470,2011,layer K2,COR2011_03,07/06/2011 13:00:00,magmatic,Unknown,9.25,2,2.75,2,2.80E+10,0,1.40E+10,1.40E+10,0,600,yes,7.6,0,2.2,0,"s,v",Unknown,na,na,na,u,Unknown,na,na,na,s,Unknown,Unknown,29,10,240,4,0.1,Unknown,negligible,1-21,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,4.5,0.5,900,15,28.8631647894835,0.010689584379095,0.00731351944761512,32.7776580478091,0.00995196062921359,0.00883280678500188,"Gilbert (2012), Pistolesi et al (2015), Bonadonna et al (2015), Bonadonna et al (2015), Elissondo et al (2016), Collini et al (2013), Carboni et al (2016)"
Cotopaxi,NA,352050,21088,-0.677,-78.436,5987,2015,1st phase,COT2015_01,14/08/2015 09:02:00,phreatic,Unknown,14,2,10,2,1.58E+08,0,4.50E+07,4.50E+07,0,1339,no,12.5,1,2.5,2,"g,s",Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,16,5,60,3,Unknown,0.08,negligible,0.03,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,6.26295635570274,0.0101333833644056,0.00119000009351224,5.97438943117684,0.00969626832909382,0.00120762609690955,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016), Troncoso et al (2017)"
Cotopaxi,NA,352050,21088,-0.677,-78.436,5987,2015,2nd phase,COT2015_02,15/08/2015 17:00:00,phreatomagmatic,Weak,580,2,300,2,7.65E+08,0,1.64E+08,1.65E+08,0,1343,no,8.5,1,1.5,2,g,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,30,6,38,3,Unknown,0.07,negligible,0.03,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,7.5927072409748,0.0113835618639994,0.00423098012143226,5.76039518164329,0.0110584533181686,0.00264286333759557,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016), Troncoso et al (2017)"
Cotopaxi,NA,352050,21088,-0.677,-78.436,5987,2015,3rd phase,COT2015_03,02/10/2015 05:00:00,phreatomagmatic,Weak,390,2,200,2,2.28E+08,0,5.00E+07,5.70E+07,0,1572,no,8,1,1.5,2,g,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,37,6,38,6,Unknown,0.3,negligible,0.03,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,4.53839956241539,0.0118092826968743,0.00310740552396894,3.75013021957796,0.0117604205351822,0.00205583224005587,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016), Troncoso et al (2017)"
Cotopaxi,NA,352050,21088,-0.677,-78.436,5987,2015,4th phase,COT2015_04,04/11/2015 05:00:00,phreatomagmatic,Weak,500,2,280,2,3.49E+07,0,6.20E+06,6.30E+06,0,1579,no,7.5,1,1,2,g,Unknown,na,na,na,u,Unknown,na,na,na,u,0.00E+00,0.00E+00,37,6,38,6,Unknown,0.15,negligible,0.03,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,Unknown,na,Unknown,na,4.79772216315878,0.0124437656449437,0.0047679465457177,4.03037323238839,0.0119992975026145,0.00436485027432759,"Bernard et al (2016), Gaunt et al (2016), Global Volcanism Program (2016), personnal communication with Benjamin Bernard (November 2016), Troncoso et al (2017)"
El Chichón,El Chichonal,341120,10610,17.36,-93.228,1150,1982,A1,ELC1982_01,29/03/1982 05:32:00,phreatomagmatic,Unknown,5.5,0,0.5,1,5.00E+11,0,2.62E+11,2.62E+11,1,1300,yes,17.5,1,5,2,s,12,1,3,1,s,22,1,2,1,s,0.00E+00,0.00E+00,70,1.2,66,9,0.5,Unknown,negligible,8,yes,NA,NA,NA,3.96903848984823,Unknown,na,Unknown,na,7,3,800,50,7.01774154809656,0.012373236756647,0.000803569137169408,6.63049776604787,0.012192857155887,0.000696176376730758,"Global Volcanism Program ( March/April 1982), Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008), Robock and Matson (1983), Bonadonna and Costa (2013), Sulpizio (2005), Varekamp et al. (1984), Girault et al (2014), Rose et al (2009), Sigurdsson et al. (1987), Siggurdsson et al (1984), Schneider et al. (1999)"
El Chichón,El Chichonal,341120,10610,17.36,-93.228,1150,1982,B,ELC1982_02,04/04/1982 01:34:59,Unknown,Unknown,4.25,0,0.5,1,7.25E+11,0,2.73E+11,2.73E+11,1,1300,yes,Unknown,na,na,na,na,20,1,4,2,s,25,1,3,1,s,2.44E+11,Unknown,70,1.2,52,8,0.5,Unknown,negligible,8,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,7,3,800,50,11.3628773979075,0.013588476513179,0.00109436769462385,11.3487597416802,0.013476674615713,0.000978176693453776,"Global Volcanism Program ( March/April 1982), Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008), Robock and Matson (1983), Bonadonna and Costa (2013), Sulpizio (2005), Varekamp et al. (1984), Girault et al (2014), Rose et al (2009), Sigurdsson et al. (1987), Siggurdsson et al (1984), Schneider et al. (1999)"
El Chichón,El Chichonal,341120,10610,17.36,-93.228,1150,1982,C,ELC1982_03,04/04/1982 11:21:59,phreatomagmatic,Unknown,7,0,0.5,1,7.00E+11,0,3.18E+11,3.18E+11,1,1300,yes,Unknown,na,na,na,na,20,0,2,2,s,22,1,3,1,s,0.00E+00,Unknown,70,1.2,66,8,0.5,Unknown,negligible,8,no,NA,NA,NA,Unknown,Unknown,na,Unknown,na,7,3,800,50,10.998222155669,0.0137930660966852,0.0010732021655263,8.59604408448269,0.0137059275786674,0.000762554723208199,"Global Volcanism Program ( March/April 1982), Matson (1984), Luhr et al (1984), Carey and Sigurdsson (1986), Krueger et al (2008), Robock and Matson (1983), Bonadonna and Costa (2013), Sulpizio (2005), Varekamp et al. (1984), Girault et al (2014), Rose et al (2009), Sigurdsson et al. (1987), Siggurdsson et al (1984), Schneider et al. (1999)"
